City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
505,Waddan,LY,80.98,clear sky,29.1614,16.139,محل الشريف محمد العايب
508,Luangwa,ZM,87.37,broken clouds,-15.6167,30.4167,Gerasimos Safari Lodge
510,Jalu,LY,75.96,clear sky,29.0331,21.5482,صاحبة الفخامة
512,Santa Isabel Do Rio Negro,BR,87.55,overcast clouds,-0.4139,-65.0192,Hotel GSA
513,Wewak,PG,77.61,few clouds,-3.5534,143.6268,In Wewak Boutique Hotel
515,Kalaikunda,IN,78.64,overcast clouds,22.35,87.25,OYO 6532 Hotel Capsicum
516,Sokoto,NG,88.95,scattered clouds,13.0609,5.239,Shukura Coral Hotel
520,Bumba,CD,77.02,overcast clouds,2.1833,22.4667,Père Carlos
526,Amahai,ID,75.45,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
528,Maceio,BR,85.44,broken clouds,-9.6658,-35.7353,Poutur Pousada
531,Sindou,BF,80.06,moderate rain,10.6667,-5.1667,LERABA HOTEL
541,Quelimane,MZ,78.75,clear sky,-17.8786,36.8883,Hotel Flamingo
543,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
545,Camocim,BR,87.08,clear sky,-2.9022,-40.8411,Hotel Ilha do Amor
550,Gorontalo,ID,75.67,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
556,Sabang,ID,81.75,overcast clouds,5.8933,95.3214,Hotel Citra
558,Phetchaburi,TH,82.29,moderate rain,12.9667,99.5833,ไร่แม่คะเมยฮิลล์ แก่งกระจาน เพชรบุรี
560,Cartagena,CO,89.22,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
561,Canhotinho,BR,78.64,scattered clouds,-8.8822,-36.1911,Pousada da Tia valda
564,Kieta,PG,78.1,light rain,-6.2167,155.6333,Uruna Bay Retreat
569,Sorong,ID,77.14,overcast clouds,-0.8833,131.25,waigo splash hotel
571,Faridpur,BD,82.4,light rain,23.6,89.8333,Progoti hostel
577,Ugoofaaru,MV,82.18,clear sky,5.6667,73.0,Ungoofaaru Inn
581,Kuantan,MY,75.31,few clouds,3.8077,103.326,Hotel Sentral Kuantan
583,Tanda,IN,78.03,light rain,26.55,82.65,MUMTAZ GANJ TANDA
585,Porbandar,IN,81.48,few clouds,21.6422,69.6093,Lords Inn Porbandar
586,Oistins,BB,89.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
594,Bahia De Caraquez,EC,79.27,scattered clouds,-0.6,-80.4167,Saiananda
595,Luanda,AO,75.2,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
596,Tindivanam,IN,80.01,broken clouds,12.25,79.65,Sundari Lodge
604,Axim,GH,77.86,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
609,Muzaffargarh,PK,89.62,clear sky,30.0754,71.1921,Aghosh hotel and restaurant
611,Sindi,IN,79.68,few clouds,20.8,78.8667,Vaibhav Kudmati
612,Zuwarah,LY,77.22,clear sky,32.9312,12.082,يوسف
613,Lorengau,PG,79.07,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
614,Les Cayes,HT,81.1,overcast clouds,18.2,-73.75,Villa Orphee
616,Black River,JM,86.0,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
617,Sinjar,IQ,77.58,clear sky,36.3209,41.8754,زوماني فون 1
618,Touros,BR,86.9,few clouds,-5.1989,-35.4608,INN NEW HORIZON
621,Guatire,VE,88.3,broken clouds,10.4762,-66.5427,Parque Residencial Canaima I
626,Erzin,TR,75.0,clear sky,36.9559,36.2,Artemis Otel
631,Delano,US,84.33,clear sky,35.7688,-119.247,"Holiday Inn Express Delano Hwy 99, an IHG Hotel"
632,Marietta,US,77.61,light rain,33.9526,-84.5499,Hilton Atlanta/Marietta Hotel & Conference Center
633,Tucumcari,US,75.94,overcast clouds,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
637,North Platte,US,79.0,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
638,Praia,CV,86.54,few clouds,14.9215,-23.5087,LT Aparthotel
640,Buluang,PH,76.84,heavy intensity rain,13.3068,123.3425,Enon Beach Resort
641,Cotonou,BJ,82.38,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
642,Makakilo City,US,78.28,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
643,Saint-Georges,GD,87.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
645,Odweyne,SO,76.14,light rain,9.4092,45.064,Eng Hiirey House
646,Bloomfield,US,82.78,overcast clouds,40.8068,-74.1854,La Quinta Inn & Suites by Wyndham Clifton/Rutherford
649,Omboue,GA,76.8,overcast clouds,-1.5746,9.2618,Hotel Olako
668,Sanchor,IN,83.55,clear sky,24.7553,71.7722,Hotel Amar Palace & AC Restaurant
671,Sechura,PE,77.88,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
673,Labuhan,ID,78.17,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
675,Lamar,US,83.52,clear sky,33.6668,-95.5836,Kings Inn Paris TX
678,Morropon,PE,89.17,scattered clouds,-5.1822,-79.9689,panaderia jeffeson
685,Karaton,ID,81.95,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
687,Paralimni,CY,76.08,clear sky,35.0375,33.9833,Amore Hotel Apartments
690,Russell,US,81.68,broken clouds,32.3502,-85.1999,Macs
693,Kontagora,NG,76.44,light rain,10.3999,5.4695,Queens Guest Inn
695,Akyab,MM,80.8,broken clouds,20.15,92.9,Hotel Memory
698,Davila,PH,80.58,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
699,Firozpur,IN,84.42,scattered clouds,30.9167,74.6,Singhz Guest House
712,Eirunepe,BR,89.37,moderate rain,-6.6603,-69.8736,Atrás de você
713,Nueva Guinea,NI,82.15,scattered clouds,11.6876,-84.4562,Posadita La Reyna
